CRIM ZN INDUS CHAS NOX RM AGE DIS RAD TAX PT_RATIO LSTAT MEDV
0.01 18 2.31 0 0.54 6.58 65.2 4.09 1 296 15.3 4.98 24
0.03 0 7.07 0 0.47 6.42 78.9 4.97 2 242 17.8 9.14 21.6
0.03 0 7.07 0 0.47 7.19 61.1 4.97 2 242 17.8 4.03 34.7
0.03 0 2.18 0 0.46 7 45.8 6.06 3 222 18.7 2.94 33.4
0.07 0 2.18 0 0.46 7.15 54.2 6.06 3 222 18.7 5.33 36.2
0.03 0 2.18 0 0.46 6.43 58.7 6.06 3 222 18.7 5.21 28.7
0.09 12.5 7.87 0 0.52 6.01 66.6 5.56 5 311 15.2 12.43 22.9
0.14 12.5 7.87 0 0.52 6.17 96.1 5.95 5 311 15.2 19.15 27.1
0.21 12.5 7.87 0 0.52 5.63 100 6.08 5 311 15.2 29.93 16.5
0.17 12.5 7.87 0 0.52 6 85.9 6.59 5 311 15.2 17.1 18.9
0.22 12.5 7.87 0 0.52 6.38 94.3 6.35 5 311 15.2 20.45 15
0.12 12.5 7.87 0 0.52 6.01 82.9 6.23 5 311 15.2 13.27 18.9
0.09 12.5 7.87 0 0.52 5.89 39 5.45 5 311 15.2 15.71 21.7
0.63 0 8.14 0 0.54 5.95 61.8 4.71 4 307 21 8.26 20.4
0.64 0 8.14 0 0.54 6.1 84.5 4.46 4 307 21 10.26 18.2
0.63 0 8.14 0 0.54 5.83 56.5 4.5 4 307 21 8.47 19.9
1.05 0 8.14 0 0.54 5.94 29.3 4.5 4 307 21 6.58 23.1
0.78 0 8.14 0 0.54 5.99 81.7 4.26 4 307 21 14.67 17.5
0.8 0 8.14 0 0.54 5.46 36.6 3.8 4 307 21 11.69 20.2
0.73 0 8.14 0 0.54 5.73 69.5 3.8 4 307 21 11.28 18.2
1.25 0 8.14 0 0.54 5.57 98.1 3.8 4 307 21 21.02 13.6
0.85 0 8.14 0 0.54 5.97 89.2 4.01 4 307 21 13.83 19.6
1.23 0 8.14 0 0.54 6.14 91.7 3.98 4 307 21 18.72 15.2
0.99 0 8.14 0 0.54 5.81 100 4.1 4 307 21 19.88 14.5
0.75 0 8.14 0 0.54 5.92 94.1 4.4 4 307 21 16.3 15.6
0.84 0 8.14 0 0.54 5.6 85.7 4.45 4 307 21 16.51 13.9
0.67 0 8.14 0 0.54 5.81 90.3 4.68 4 307 21 14.81 16.6
0.96 0 8.14 0 0.54 6.05 88.8 4.45 4 307 21 17.28 14.8
0.77 0 8.14 0 0.54 6.5 94.4 4.45 4 307 21 12.8 18.4
1 0 8.14 0 0.54 6.67 87.3 4.24 4 307 21 11.98 21
1.13 0 8.14 0 0.54 5.71 94.1 4.23 4 307 21 22.6 12.7
1.35 0 8.14 0 0.54 6.07 100 4.18 4 307 21 13.04 14.5
1.39 0 8.14 0 0.54 5.95 82 3.99 4 307 21 27.71 13.2
1.15 0 8.14 0 0.54 5.7 95 3.79 4 307 21 18.35 13.1
1.61 0 8.14 0 0.54 6.1 96.9 3.76 4 307 21 20.34 13.5
0.06 0 5.96 0 0.5 5.93 68.2 3.36 5 279 19.2 9.68 18.9
